2022/04/05 4:23:57 PM AST,1.Pressure from school work,2.Future decision,3.Time management,4.Sleep deprivation,5.Anxiety
2022/04/05 4:24:21 PM AST,1. Graduation,2. time management,3. Classes (senior design),4.sleep,5.preparing for the real world
2022/04/05 4:25:10 PM AST,1. School | balancing projects | not enough sleep| health,2. Worrying about grade,3. Time management Balancing school,4. Relationship,5. Finance
2022/04/05 4:25:11 PM AST,"1. Too much emphasis on tests and not enough emphasis on learning workforce-relevant skills,","2. Make mid-semester CIOS so improvements can happen while students are still in the class,","3. GT wasting money on buildings,","4. Make all required textbooks available for free,","5. More coordination between classes taken at the same time,"
2022/04/05 4:25:57 PM AST,1. Tuition too expensive,2. Lack of quality education,3. Less busywork,4. Biweekly homework,5. Free Coffee
2022/04/05 4:26:09 PM AST,"1. More breaks,","2. More bike racks, ","3. Clearer sylabi, ","4. Better roads, ","5. On campus groceries, "
2022/04/05 4:26:58 PM AST,1. ECE labs take too much time,2. Too much workload even for only 14 credit hours (~4 classes),"3. GT wasting money on buildings instead of providing more benefits to students (cheaper tuition, textbooks, food, etc.)",4. Not enough diverse food options on campus,"5. Very difficult to learn career-related skills, as even when they are a ""core"" part of a class, it is barely taught, and assignments bases on these skills are unclear or worth much less than exams"
2022/04/05 4:30:32 PM AST,"1.Time management, ",2. The unavailability of affordable apartments near the campus which causes some students to travel long distances to attend classes and this is frustrating,3. Too many classes expect students to have prior knowledge of content not covered in any pre-requisites,4. Roommates,"5.My schedule, which start at 8am and end 4:45 pm and I think ECE collage should consider opening more sections for different times"
2022/04/05 9:19:27 PM AST,1. Provide more time for assignments,2. suggest next steps in personal life,3. propose internships,,4. reduce tuition
2022/04/07 6:53:49 PM AST,1: Commuting to School (I'm living at home instead of near campus) ,2: Constant state of exhaustion and burnout ,3: Too much work ,4: Scheduling Graduation ,5: Time Management | 
